district,soil_ph,rainfall_mm,temp_c,prev_yield,season,crop,yield_t
29,5.82,443.3,34.2,3.12,0,wheat,3.7
42,5.06,224.9,32.0,3.68,1,wheat,3.39
26,7.74,97.3,18.3,3.16,0,rice,3.34
35,5.35,183.9,32.3,2.59,0,maize,1.94
50,6.73,207.1,32.7,2.79,2,maize,3.01
25,5.82,413.8,30.1,3.61,2,wheat,4.34
24,6.66,366.8,32.6,2.53,0,wheat,3.43
13,6.95,384.7,34.5,2.71,0,wheat,3.89
7,7.49,5.5,29.1,1.05,1,rice,1.34
36,5.62,208.1,17.0,2.16,2,maize,1.97
45,5.03,240.7,26.2,3.01,1,wheat,3.07
20,5.41,9.6,16.8,1.45,1,rice,1.1
1,7.7,129.9,24.4,1.21,1,maize,1.3
8,7.62,380.1,24.4,1.6,0,wheat,2.13
46,6.79,68.6,16.5,1.35,1,rice,1.59
16,6.8,267.7,23.0,1.25,1,wheat,1.63
14,7.0,107.6,17.6,1.99,0,rice,2.23
12,5.53,6.1,33.6,3.68,2,groundnut,2.63
23,7.74,120.6,36.8,2.27,2,soybean,2.77
15,6.26,487.9,16.7,1.16,1,wheat,1.53
28,6.15,400.8,37.0,0.77,0,wheat,0.93
34,6.56,479.8,27.0,2.94,2,wheat,3.89
2,5.14,243.9,21.9,1.84,1,wheat,1.46
32,5.5,54.9,16.8,3.38,1,rice,3.17
23,7.21,274.0,26.5,2.81,0,wheat,3.42
22,5.25,227.2,33.3,3.29,1,wheat,3.15
25,6.81,422.2,31.3,1.45,2,wheat,2.03
22,5.74,49.0,16.2,2.92,0,rice,3.34
22,6.17,244.1,16.7,1.42,2,wheat,1.52
49,5.87,75.0,24.3,3.79,2,rice,4.16
42,6.07,162.3,21.8,2.73,2,maize,2.85
6,7.16,368.7,20.3,1.64,1,wheat,2.35
15,5.89,238.0,21.5,1.44,1,wheat,1.49
43,6.7,187.9,33.5,1.17,2,maize,0.93
37,6.43,197.2,36.4,2.93,2,maize,3.03
33,6.99,229.7,24.3,1.27,0,wheat,1.76
8,7.81,392.5,35.8,2.58,0,wheat,3.58
44,7.2,446.0,22.4,1.43,1,wheat,1.83
44,5.64,477.7,26.0,2.82,1,wheat,3.41
5,5.09,393.5,20.2,3.35,0,wheat,3.36
39,5.79,157.7,29.7,3.22,2,maize,2.72
4,6.79,344.1,37.5,3.16,1,wheat,4.27
6,5.15,218.8,28.9,1.16,2,wheat,0.95
45,6.49,127.3,23.2,0.81,0,maize,0.6
32,6.79,420.4,29.9,2.95,1,wheat,4.24
30,6.0,19.2,17.8,1.79,1,rice,1.85
47,7.31,450.9,35.4,2.01,0,wheat,2.87
35,5.32,230.7,26.6,0.61,1,wheat,0.46
40,5.23,318.6,25.3,1.41,0,wheat,1.71
16,7.18,329.7,28.5,0.62,1,wheat,0.81
13,6.49,447.6,29.4,3.58,0,wheat,5.33
50,7.07,318.3,16.7,1.35,1,wheat,1.8
42,6.3,307.0,30.7,2.45,2,wheat,2.46
30,5.74,33.3,20.6,0.64,2,rice,0.2
19,7.46,259.2,31.4,2.83,2,wheat,3.48
17,7.4,75.1,33.9,1.63,1,rice,2.09
19,7.08,368.7,33.5,3.64,1,wheat,4.78
28,5.82,256.1,27.7,3.61,2,wheat,4.29
26,6.77,340.1,27.0,1.64,2,wheat,2.47
37,6.08,20.8,18.3,3.65,0,rice,3.67
26,5.27,42.4,32.8,3.99,0,rice,3.69
23,7.75,358.2,21.2,3.39,0,wheat,4.35
9,5.41,36.0,26.4,3.46,2,rice,3.54
12,7.85,35.6,21.5,1.37,2,rice,1.53
1,6.34,6.1,18.1,2.52,2,rice,2.6
1,5.56,478.3,29.5,0.74,0,wheat,1.03
47,6.63,368.8,16.2,0.83,1,wheat,1.19
34,7.62,176.6,32.2,4.0,2,maize,4.09
32,7.2,148.3,22.3,1.64,1,maize,1.34
48,7.42,174.9,15.0,3.12,1,maize,3.19
25,6.98,387.3,26.8,3.32,1,wheat,4.69
40,7.08,330.7,16.1,3.5,0,wheat,4.6
45,7.55,92.6,21.4,3.99,1,rice,4.62
1,5.75,87.1,31.3,1.35,2,rice,1.75
16,6.47,49.2,16.4,0.64,0,rice,0.72
39,5.66,330.2,34.3,1.94,2,wheat,2.29
5,7.96,382.2,15.1,0.96,2,wheat,1.49
22,7.83,132.5,20.7,0.58,0,maize,0.56
29,5.12,10.5,32.0,1.76,2,rice,1.32
3,7.12,41.1,22.3,3.24,2,rice,3.78
12,7.78,483.9,17.3,2.48,0,wheat,2.88
26,5.54,147.7,23.3,1.59,2,maize,0.88
16,6.7,384.6,21.2,2.79,1,wheat,3.78
37,7.75,312.3,34.4,1.31,2,wheat,1.09
22,5.1,191.0,22.2,0.55,1,maize,0.2
29,7.09,102.8,33.1,3.18,2,rice,3.74
14,5.89,60.7,35.5,2.68,0,rice,2.55
28,7.77,307.5,25.0,3.17,0,wheat,3.72
5,7.91,387.3,35.9,0.64,2,wheat,1.01
47,7.83,322.0,23.7,3.43,0,wheat,4.11
49,6.42,265.2,37.2,2.67,2,wheat,2.97
30,7.59,21.0,17.1,2.47,0,rice,2.84
46,7.53,484.2,30.8,2.69,1,wheat,3.44
5,5.96,399.4,26.4,3.53,2,wheat,4.34
12,7.49,146.4,23.9,2.55,1,maize,2.16
16,5.11,490.0,29.6,2.53,1,wheat,2.93
26,6.79,300.9,31.2,3.97,2,wheat,4.97
26,5.69,291.2,15.1,3.15,1,wheat,3.62
48,5.36,374.0,18.8,2.05,2,wheat,2.38
21,5.23,405.9,31.4,2.98,1,wheat,3.15
39,7.09,328.2,30.3,1.86,2,wheat,2.29
36,6.02,64.0,37.2,1.3,2,rice,1.27
